Date,Open,High,Low,Close,Adj Close,Volume
2023-01-30,98.74500274658203,99.40899658203125,97.5199966430664,97.94999694824219,97.94999694824219,24365100
2023-01-31,97.86000061035156,99.91000366210938,97.79000091552734,99.87000274658203,99.87000274658203,22306800
2023-02-01,99.73999786376953,102.19000244140625,98.41999816894531,101.43000030517578,101.43000030517578,26392600
2023-02-02,106.79000091552734,108.81999969482422,106.54000091552734,108.80000305175781,108.80000305175781,46622600
2023-02-03,103.51000213623047,108.0199966430664,103.30000305175781,105.22000122070312,105.22000122070312,36823400
2023-02-06,102.68499755859375,104.69999694824219,102.20999908447266,103.47000122070312,103.47000122070312,25573000
2023-02-07,103.62999725341797,108.66999816894531,103.5479965209961,108.04000091552734,108.04000091552734,33738800
2023-02-08,102.69000244140625,103.58000183105469,98.45500183105469,100.0,100.0,73546000
2023-02-09,100.54000091552734,100.61000061035156,93.86000061035156,95.45999908447266,95.45999908447266,97798600
2023-02-10,95.73999786376953,97.0199966430664,94.52999877929688,94.86000061035156,94.86000061035156,49325300
2023-02-13,95.01000213623047,95.3499984741211,94.05000305175781,95.0,95.0,43116600
2023-02-14,94.66000366210938,95.17500305175781,92.6500015258789,94.94999694824219,94.94999694824219,42513100
2023-02-15,94.73999786376953,97.33999633789062,94.36000061035156,97.0999984741211,97.0999984741211,36964500
2023-02-16,95.54000091552734,97.87999725341797,94.97000122070312,95.77999877929688,95.77999877929688,35642100
2023-02-17,95.06999969482422,95.75,93.44999694824219,94.58999633789062,94.58999633789062,31095100
2023-02-21,93.23999786376953,93.41500091552734,92.0,92.05000305175781,92.05000305175781,28367200
2023-02-22,91.93399810791016,92.36000061035156,90.87000274658203,91.80000305175781,91.80000305175781,29891100
2023-02-23,92.12999725341797,92.12999725341797,90.01000213623047,91.06999969482422,91.06999969482422,32423700
2023-02-24,89.62999725341797,90.12999725341797,88.86000061035156,89.3499984741211,89.3499984741211,31295600
2023-02-27,90.08999633789062,90.44999694824219,89.61000061035156,90.0999984741211,90.0999984741211,22724300
2023-02-28,89.54000091552734,91.44999694824219,89.5199966430664,90.30000305175781,90.30000305175781,30546900
2023-03-01,90.16000366210938,91.19999694824219,89.8499984741211,90.51000213623047,90.51000213623047,26323900
2023-03-02,89.86000061035156,92.4800033569336,89.7699966430664,92.30999755859375,92.30999755859375,23328600
2023-03-03,92.73999786376953,94.11000061035156,92.66000366210938,94.0199966430664,94.0199966430664,30242500
2023-03-06,94.36000061035156,96.30000305175781,94.30000305175781,95.58000183105469,95.58000183105469,28288200
2023-03-07,95.41999816894531,96.08999633789062,93.84400177001953,94.16999816894531,94.16999816894531,24101500
2023-03-08,94.40499877929688,96.23999786376953,94.40499877929688,94.6500015258789,94.6500015258789,25395200
2023-03-09,94.48999786376953,95.91999816894531,92.3550033569336,92.66000366210938,92.66000366210938,24438900
2023-03-10,92.5,93.18000030517578,90.80000305175781,91.01000213623047,91.01000213623047,32850100
2023-03-13,90.56500244140625,93.08000183105469,89.94000244140625,91.66000366210938,91.66000366210938,31508600
2023-03-14,93.06999969482422,94.83000183105469,92.77999877929688,94.25,94.25,32303900
2023-03-15,93.54000091552734,97.25,93.04000091552734,96.55000305175781,96.55000305175781,38367300
2023-03-16,96.56999969482422,101.97000122070312,95.87000274658203,101.06999969482422,101.06999969482422,54499500
2023-03-17,100.83999633789062,103.48999786376953,100.75,102.45999908447266,102.45999908447266,76140300
2023-03-20,101.05999755859375,102.58000183105469,100.79000091552734,101.93000030517578,101.93000030517578,26033900
2023-03-21,101.9800033569336,105.95999908447266,101.86000061035156,105.83999633789062,105.83999633789062,33122800
2023-03-22,105.13999938964844,107.51000213623047,104.20999908447266,104.22000122070312,104.22000122070312,32336900
2023-03-23,105.88999938964844,107.10099792480469,105.41000366210938,106.26000213623047,106.26000213623047,31385800
2023-03-24,105.73999786376953,106.16000366210938,104.73999786376953,106.05999755859375,106.05999755859375,25245000
2023-03-27,105.31999969482422,105.4000015258789,102.62999725341797,103.05999755859375,103.05999755859375,25393400
2023-03-28,103.0,103.0,100.27999877929688,101.36000061035156,101.36000061035156,24913500
2023-03-29,102.72000122070312,102.81999969482422,101.02999877929688,101.9000015258789,101.9000015258789,26148300
2023-03-30,101.44000244140625,101.61000061035156,100.29000091552734,101.31999969482422,101.31999969482422,25009800
2023-03-31,101.70999908447266,104.19000244140625,101.44000244140625,104.0,104.0,28086500
2023-04-03,102.66999816894531,104.94999694824219,102.37999725341797,104.91000366210938,104.91000366210938,20719900
